,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3447,Bachelor Business administration ,Aboriginal Business,4.25 Year(s),4 Month(s),University of Manitoba,CO-OP
3448,Bachelor Business administration ,Applied International Business and Supply Chain Management,4 Year(s),8 Month(s),MacEwan University,CO-OP
3449,College Diploma (DCS) Engineering ,Architectural/Engineering Technology,3 Year(s),6 Month(s),Red River College,CO-OP
3450,College Diploma (DCS) Engineering ,Architecture - Construction Engineering Technology,3 Year(s),4 Month(s),Conestoga College,CO-OP
3451,Bachelor Applied technology ,Architecture - Project and Facility Management,4 Year(s),4 Month(s),Conestoga College,CO-OP
3452,Master Public Health ,Community Health - Public Health,2 Year(s),4 Month(s),Université de Montréal,CO-OP
3453,Master Business administration ,Accounting Stream,2 Year(s),4 Month(s),Brock University,CO-OP
3454,Bachelor Applied Sciences,Agribusiness,4 Year(s),4 Month(s),Olds College,CO-OP
3455,Bachelor Applied Sciences,Electronics Engineering,4 Year(s),4 Month(s),Simon Fraser University,CO-OP
3456,Bachelor Engineering ,Engineering Physics and Management,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3457,Bachelor Engineering ,Engineering Physics and Society,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3458,Bachelor Sciences ,Biological Science/Biological Science and Management,4 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3459,Master Environment ,Environment and Sustainability,1 Year(s),4 Month(s),Western University,CO-OP
3460,College Diploma (DCS) Engineering ,Environmental Civil Engineering Technology,3 Year(s),4 Month(s),Conestoga College,CO-OP
3461,Graduate Certificate ,Environmental Control,1 Year(s),4 Month(s),Sheridan College,CO-OP
3462,Bachelor Business administration ,Entrepreneurship and Small & Medium Business,4.25 Year(s),4 Month(s),University of Manitoba,CO-OP
3463,Bachelor Health Sciences ,Environmental Health and Public Health Inspection,2  Year(s),3 Month(s),British Columbia Institute of Technology (BCIT),CO-OP
3464,Master Sciences ,Environmental Health and Workplace Health,minimum 1 Year(s),4 Month(s),Université de Montréal,CO-OP
3465,College Diploma (DCS) Engineering ,Environmental Engineering Applications,1 Year(s),4 Month(s),Conestoga College,CO-OP
3466,Graduate Certificate ,"Event Marketing - Sports, Entertainment, Arts",1 Year(s),4 Month(s),Seneca College,CO-OP
3467,Master Arts ,"Environmental, Resource and Development Economics",1 Year(s),4 Month(s),University of Winnipeg,CO-OP
3468,Bachelor Engineering ,Electrical Engineering and Management,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3469,Bachelor Engineering ,Electrical Engineering and Society,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3470,Bachelor Engineering ,Electrical (Nano-engineering),5 Year(s),4 Month(s),University of Alberta,CO-OP
3471,College Diploma (DCS) ,Electrical Power Generation Technician,1.5 Year(s),4 Month(s),Fleming College,CO-OP
3472,College Diploma (DCS) Engineering ,Electrical Engineering Technician,2 Year(s),4 Month(s),Georgian College  ,CO-OP
3473,College Diploma (DCS) ,Cabinetry and Woodworking,2 Year(s),4 Month(s),Red River College,CO-OP
3474,Bachelor ,Career Development,3 Year(s),8 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3475,Bachelor Commerce,CIS,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3476,Bachelor Business administration ,Business and People Management,3 Year(s),4 Month(s),Université du Québec en Outaouais (UQO),CO-OP
3477,Bachelor Sciences ,Chimie de l'environnement et des bioressources,4 Year(s),4 Month(s),Université du Québec à Rimouski (UQAR),CO-OP
3478,Graduate Certificate ,Business Intelligence System Infrastructure,1 Year(s),4 Month(s),Algonquin College of Applied Arts and Technology (Ottawa),CO-OP
3479,Bachelor Business administration ,Business Process Management,5 Year(s),4 Month(s),University of Calgary,CO-OP
3480,Bachelor Social Sciences ,Child Development,4 Year(s),4 Month(s),Seneca College,CO-OP
3481,College Diploma (DCS) Sciences ,Science Laboratory Technology ,2 Year(s),4 Month(s),Red River College,CO-OP
3482,Bachelor Sciences ,Chemical Biology,5 Year(s),4  Month(s),McMaster University,CO-OP
3483,Bachelor Engineering ,Chemical Engineering and Bioengineering,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3484,Bachelor Engineering ,Chemical Engineering and Management,5 Year(s),4 - 16 Month(s),McMaster University,CO-OP
