,academic_level_area_of_study,program_of_study,program_length,duration_of_term,institution_name,program_type
3101,Graduate Diploma Arts & Sciences ,Géographie appliquée en environnement,1 Year(s),4 Month(s),Université de Montréal,CO-OP
3102,Bachelor Engineering ,Chemical Engineering,5 Year(s),4 Month(s),University of Alberta,CO-OP
3103,Bachelor Engineering ,Computer Engineering,5 Year(s),4 Month(s),University of Alberta,CO-OP
3104,Bachelor Engineering ,Chemical Engineering (Computer Process Control),5 Year(s),4 Month(s),University of Alberta,CO-OP
3105,Bachelor Engineering ,Civil Engineering (Environmental),5 Year(s),4 Month(s),University of Alberta,CO-OP
3106,Bachelor Engineering ,Computer Engineering (NANO),5 Year(s),4 Month(s),University of Alberta,CO-OP
3107,Bachelor Engineering ,Computing Engineering (Software),5 Year(s),4 Month(s),University of Alberta,CO-OP
3108,Bachelor Engineering ,Electrical Engineering,5 Year(s),4 Month(s),University of Alberta,CO-OP
3109,Bachelor Engineering ,Engineering Physics,5 Year(s),4 Month(s),University of Alberta,CO-OP
3110,Bachelor Engineering ,Materials Engineering,5 Year(s),4 Month(s),University of Alberta,CO-OP
3111,Bachelor Engineering ,Materials Engineering (NANO),5 Year(s),4 Month(s),University of Alberta,CO-OP
3112,Bachelor Engineering ,Mechanical Engineering (Biomedical),5 Year(s),4 Month(s),University of Alberta,CO-OP
3113,Bachelor Engineering ,Engineering Physics (NANO),5 Year(s),4 Month(s),University of Alberta,CO-OP
3114,College Diploma (DCS) Law ,"Office Administration, Legal",2 Year(s),4 Month(s),Durham College,CO-OP
3115,College Diploma (DCS) Management,Special Events Management ,2 Year(s),4 Month(s),Durham College,CO-OP
3116,College Diploma (DCS) Applied Sciences,Water Quality Technician,2 Year(s),4 Month(s),Durham College,CO-OP
3117,College Diploma (DCS) Applied technology ,Welding Engineering Technician,2 Year(s),4 Month(s),Durham College,CO-OP
3118,Master Sciences ,Systemic management of natural environments,21 Month(s),6 Month(s),Université de Sherbrooke,CO-OP
3119,Bachelor Engineering ,Engineering Physics,4 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3120,Graduate Certificate Engineering ,Construction Management,16 Month(s),4 Month(s),Conestoga College,CO-OP
3121,Master Public Health ,Public Health,16 Month(s),4 Month(s),Queen's University,CO-OP
3122,Master Applied Sciences,Master of Applied Computing,20 Month(s),8 Month(s),Wilfrid Laurier University,CO-OP
3123,Master Applied Sciences,Master of Management of Applied Science (MMASc),12 Month(s),4 Month(s),Western University,CO-OP
3124,Master Arts ,Global Governance,16 Month(s),4 Month(s),University of Waterloo,CO-OP
3125,Master Arts ,International Studies,12 Month(s),4-8 Month(s),Simon Fraser University,CO-OP
3126,Master Business administration ,Sustainability Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3127,Master Health Sciences ,Master of Science in Regulatory Affairs,18 Month(s),3 Month(s),Northeastern University (Toronto Campus),CO-OP
3128,Master Management,Master of Science in Project Management,18 Month(s),3 Month(s),Northeastern University (Toronto Campus),CO-OP
3129,Master Computer Sciences ,Master of Professional Studies in Analytics,18 Month(s),3 Month(s),Northeastern University (Toronto Campus),CO-OP
3130,Master Computer Sciences ,Master of Professional Studies in Informatics,18 Month(s),3 Month(s),Northeastern University (Toronto Campus),CO-OP
3131,Master Management,Master of Accounting and Finance,16 Month(s),4 Month(s),University of Toronto,CO-OP
3132,Master Business administration ,Financial Reporting and Analysis,20 Month(s),4 Month(s),University of Toronto,CO-OP
3133,Master Business administration ,Funds Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3134,Graduate Certificate Computer Sciences ,Mobile Solutions Development,16 Month(s),4 Month(s),Conestoga College,CO-OP
3135,Master Business administration ,Health Sector Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3136,Master Business administration ,Innovation and Entrepreneurship,20 Month(s),4 Month(s),University of Toronto,CO-OP
3137,Undergraduate Certificate ,"Online Certificate in Safety, Health and Environmental Processes (CHSEP)",up to 30* Month(s),6 Month(s),University of Fredericton,CO-OP
3138,Master Social Sciences ,Economic and Social Policy,12 Month(s),4 Month(s),University of Calgary,CO-OP
3139,Master Social Sciences ,Energy and Environmental Policy,12 Month(s),4 Month(s),University of Calgary,CO-OP
3140,Master Business administration ,Business Design,20 Month(s),4 Month(s),University of Toronto,CO-OP
3141,Master Business administration ,Business & Government,22 Month(s),8 Month(s),Dalhousie University,CO-OP
3142,Doctorate Law ,Articling Program,10 Month(s),10 Month(s),The Law Society of Upper Canada,CO-OP
3143,Master Sciences ,Biochemistry,16 Month(s),min 4 Month(s),Université de Montréal,CO-OP
3144,Master Business administration ,Business Administration,20 Month(s),4 Month(s),Wilfrid Laurier University,CO-OP
3145,Master Business administration ,Brand Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3146,Bachelor Commerce,Business,4 Month(s),4 Month(s),University of Saskatchewan,CO-OP
3147,Master ,Business Analytics,12 Month(s),4 Month(s),York University,CO-OP
3148,Master Business administration ,Consulting,20 Month(s),4 Month(s),University of Toronto,CO-OP
3149,College Diploma (DCS) Engineering ,Electrical/ Electronic Engineering Technology,28 Month(s),4 Month(s),Red River College,CO-OP
3150,Master Business administration ,Risk Management and Financial Engineering,20 Month(s),4 Month(s),University of Toronto,CO-OP
3151,Graduate Certificate Applied technology ,Robotics and Industrial Automation,16 Month(s),4 Month(s),Conestoga College,CO-OP
3152,Master Business administration ,Process and Supply Chain Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3153,Master Business administration ,Global Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3154,College Diploma (DCS) ,Horticulture Technician,32 Month(s),6 Month(s),Red River College,CO-OP
3155,Master Business administration ,General,20 Month(s),4 Month(s),University of Toronto,CO-OP
3156,Master Business administration ,Real Estate,20 Month(s),4 Month(s),University of Toronto,CO-OP
3157,Master Business administration ,Leadership and Change Management,20 Month(s),4 Month(s),University of Toronto,CO-OP
3158,Master Social Sciences ,International Policy,12 Month(s),4 Month(s),University of Calgary,CO-OP
3159,Bachelor Arts ,General Major Social Sciences,4 Week(s),4 Month(s),University of Lethbridge,CO-OP
3160,Bachelor Engineering ,Software Engineering and Management,6 Week(s),4 Month(s),Ontario Tech University,CO-OP
3161,Bachelor Business administration ,Business Administration - Human Resources Management,4.5 Year(s),4 Month(s),Brock University,CO-OP
3162,College Diploma (DCS) ,Business Administration - Human Resources Management,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3163,College Diploma (DCS) Business administration ,Business Administration - Human Resources,3 Year(s),4 Month(s),Sheridan College,CO-OP
3164,Bachelor Business administration ,Business Administration - Finance,4.5 Year(s),4 Month(s),Brock University,CO-OP
3165,College Diploma (DCS) Business administration ,Business Administration - Finance,3 Year(s),4 Month(s),Sheridan College,CO-OP
3166,College Diploma (DCS) ,Business Administration - Accounting,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3167,Bachelor Business administration ,Business Administration - Accounting,4.5 Year(s),4 Month(s),Brock University,CO-OP
3168,College Diploma (DCS) Business administration ,Business Administration - Accounting,3 Year(s),4 Month(s),Sheridan College,CO-OP
3169,College Diploma (DCS) ,Business Administration - Accounting,3 Year(s),4 Month(s),Centennial College,CO-OP
3170,Graduate Diploma ,Geographic Information Systems (GIS),1 Year(s),2 à 4 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3171,Bachelor Arts ,Geographic Information Systems (GIS),5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3172,Bachelor Engineering ,Computer Engineering,5 Year(s),Stage rémunéré Month(s),University of Saskatchewan,CO-OP
3173,Bachelor Arts & Sciences ,"Geography, Planning and Geographic Information Systems",4 Year(s),4 or 8  Month(s),University of Regina,CO-OP
3174,College Diploma (DCS) ,Computer Programmer,2 Year(s),4 Month(s),Georgian College  ,CO-OP
3175,Bachelor Engineering ,Civil Engineering,4 Year(s),4 - 16 Month(s),McMaster University,CO-OP
3176,College Diploma (DCS) ,Business Administration - Marketing,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3177,College Diploma (DCS) ,Business Administration - Marketing,3 Year(s),4 Month(s),Conestoga College,CO-OP
3178,Bachelor Business administration ,Business Administration - Marketing,4.5 Year(s),4 Month(s),Brock University,CO-OP
3179,Master Business administration ,Investment Banking,20 Month(s),4 Month(s),University of Toronto,CO-OP
3180,Bachelor Arts ,Geography,4 Year(s),4 Month(s),University of Regina,CO-OP
3181,Bachelor Arts ,Geography,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3182,Bachelor Engineering ,Civil Engineering,4.5 - 5 Year(s),"4, 8, 12, 16 Month(s)",University of Manitoba,CO-OP
3183,Bachelor Engineering ,Civil Engineering,4 Year(s),"4, 8, 12 or 16 Month(s)",York University,CO-OP
3184,Bachelor Engineering ,Civil Engineering,5 Year(s),"4, 8, 12, 16 Month(s)",University of Saskatchewan,CO-OP
3185,Bachelor Sciences ,Geography & Environmental Studies,5 Year(s),4 Month(s),McMaster University,CO-OP
3186,Bachelor Engineering ,Civil Engineering,4 Year(s),4 Month(s),Western University,CO-OP
3187,College Diploma (DCS) Engineering ,Civil Engineering Technology,2 Year(s),4-8 Month(s),Camosun College (Interurban),CO-OP
3188,College Diploma (DCS) ,Forestry,2 Year(s),4 Month(s),Fleming College,CO-OP
3189,Master Sciences ,Clinical Psychology,2 Year(s),4 Month(s),Queen's University,CO-OP
3190,Doctorate ,Clinical Psychology,4 Year(s),4 Month(s),Queen's University,CO-OP
3191,Master Arts ,Clinical Psychology,2 Year(s),4 Month(s),Lakehead University,CO-OP
3192,Bachelor Arts ,Cognitive Systems,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3193,College Diploma (DCS) ,Tourism - Destinations and Travel Management,2 Year(s),4 Month(s),Conestoga College,CO-OP
3194,College Diploma (DCS) ,Hospitality Administration,3 Year(s),6 Month(s),Georgian College  ,CO-OP
3195,College Diploma (DCS) Social Sciences ,Hospitality Administration,2 Year(s),16 Month(s),Assiniboine Community College,CO-OP
3196,Bachelor Arts ,Communications and Media Studies,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3197,College Diploma (DCS) ,Culinary Management,2 Year(s),6 Month(s),Georgian College  ,CO-OP
3198,Bachelor Business administration ,Human Resources,4 Year(s),4-8 Month(s),Mount Royal University,CO-OP
3199,College Diploma (DCS) ,Heavy Equipment Techniques,1 Year(s),4 Month(s),Fleming College,CO-OP
3200,Bachelor Sciences ,Health Sciences,4 Year(s),4-8 Month(s),Simon Fraser University,CO-OP
3201,Bachelor Communication ,Human Resources,3 Year(s),16 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3202,Bachelor Commerce,Human Resources,4 Year(s),4 Month(s),University of Saskatchewan,CO-OP
3203,College Diploma (DCS) Business administration ,Human Resources,2 Year(s),4 Month(s),Bow Valley College,CO-OP
3204,College Diploma (DCS) Engineering ,Civil Engineering Technician,2 Year(s),4 Month(s),Seneca College,CO-OP
3205,Master Social Sciences ,History,2 Year(s),4 Month(s),Brock University,CO-OP
3206,Bachelor Arts ,History,4 Year(s),4 Month(s),University of Regina,CO-OP
3207,Bachelor Arts ,History,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3208,College Diploma (DCS) ,Computer Programmer Analyst,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3209,Master Sciences ,"Geography, Planning and Geographic Information Systems",2 Year(s),3-4 Month(s),Université du Québec à Montréal (UQAM),CO-OP
3210,Bachelor ,"Geography, Planning and Geographic Information Systems",3 Year(s),4 Month(s),Université du Québec à Trois-Rivières (UQTR),CO-OP
3211,Master Applied Sciences,"Geography, Planning and Geographic Information Systems",2  Year(s),4 Month(s),Saint Mary's University,CO-OP
3212,Bachelor Business administration ,Business Administration,4.5 Year(s),4 Month(s),Brock University,CO-OP
3213,College Diploma (DCS) ,Business Administration,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3214,College Diploma (DCS) Business administration ,Business Administration,2 Year(s),16 Month(s),Assiniboine Community College,CO-OP
3215,Bachelor Arts ,History,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3216,College Diploma (DCS) Engineering ,Geomatics Technology,3 Year(s),6 Month(s),Red River College,CO-OP
3217,Bachelor Arts ,German,"4,5 Year(s)",4-16 Month(s),Acadia University,CO-OP
3218,Bachelor Arts ,German,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3219,Master Arts ,German,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3220,Bachelor Engineering ,Geomatics Engineering,4 Year(s),"4, 8, 12 or 16 Month(s)",York University,CO-OP
3221,College Diploma (DCS) ,Computer Science ,3 Year(s),4-8 Month(s),Collège de Valleyfield,CO-OP
3222,Master Arts ,"Geography, Planning and Geographic Information Systems",2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3223,Master Sciences ,"Geography, Planning and Geographic Information Systems",2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3224,Bachelor Engineering ,Geological Engineering,5 Year(s),"4, 8, 12, 16 Month(s)",University of Saskatchewan,CO-OP
3225,Bachelor Sciences ,Environmental Studies,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3226,Master Sciences ,Environmental Science,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3227,College Diploma (DCS) ,Liberal Arts,2  Year(s),4 Month(s),Yukon College,CO-OP
3228,College Diploma (DCS) Business administration ,Marketing,2 Year(s),4 Month(s),Bow Valley College,CO-OP
3229,College Diploma (DCS) ,Marketing,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3230,Bachelor ,Finance,4 Year(s),"4, 8, 12 or 16 Month(s)",Ontario Tech University,CO-OP
3231,Bachelor Business administration ,Finance,3 Year(s),4 Month(s),Université du Québec en Outaouais (UQO),CO-OP
3232,Bachelor Business administration ,Finance,4.25 Year(s),4 Month(s),University of Manitoba,CO-OP
3233,Bachelor Business administration ,Finance,4 Year(s),4-8 Month(s),Mount Royal University,CO-OP
3234,Bachelor Arts ,Film Studies,5 Year(s),4-8 Month(s),University of British Columbia (Vancouver),CO-OP
3235,Master Arts ,Exercise Science,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3236,Bachelor Sciences ,Exercise Science,4 Year(s),4 Month(s),University of Lethbridge,CO-OP
3237,College Diploma (DCS) Sciences ,Marine Engineering Technology,3 Year(s),4 Month(s),Georgian College  ,CO-OP
3238,College Diploma (DCS) Business administration ,Events management,2 Year(s),4 Month(s),Bow Valley College,CO-OP
3239,Graduate Diploma ,Public Relations,1 Year(s),4 Month(s),Western University,CO-OP
3240,College Diploma (DCS) Communication ,Public Relations,3 Year(s),4 Month(s),Humber College,CO-OP
3241,Bachelor ,Public Relations,4 Year(s),4 Month(s),Conestoga College,CO-OP
3242,Bachelor Commerce,Marketing,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3243,Bachelor Commerce,Finance,4 Year(s),4 Month(s),University of Saskatchewan,CO-OP
3244,Bachelor Business administration ,Marketing,4.25 Year(s),4 Month(s),University of Manitoba,CO-OP
3245,Bachelor Business administration ,Marketing,4 Year(s),4-8 Month(s),Mount Royal University,CO-OP
3246,Bachelor Commerce,Entrepreneurship and Innovation,5 Year(s),4 Month(s),University of Calgary,CO-OP
3247,Bachelor Management Sciences ,Entrepreneurship and Innovation,4 Year(s),8-12 Month(s),Dalhousie University,CO-OP
3248,Master Arts ,English,2 Year(s),4 Month(s),University of Lethbridge,CO-OP
3249,Bachelor Commerce,Management,4 Year(s),4 Month(s),University of Saskatchewan,CO-OP
3250,Bachelor Commerce,Management,4 Year(s),4 Month(s),Saint Mary's University,CO-OP
3251,Bachelor Applied Sciences,Environmental Sustainability,4 Year(s),Notes Month(s),University of Winnipeg,CO-OP
3252,Master Applied Sciences,Geology,2  Year(s),4 Month(s),Saint Mary's University,CO-OP
3253,Bachelor Sciences ,Geology,4 Year(s),4 Month(s),University of Regina,CO-OP
3254,Bachelor Arts ,Linguistics,4 Year(s),4-8 Month(s),University of Regina,CO-OP
3255,Bachelor Arts ,Linguistics,4 Year(s),"4, 8, 12 Month(s)",University of Calgary,CO-OP
3256,College Diploma (DCS) ,Law Clerk,2 Year(s),4 Month(s),Centennial College,CO-OP
3257,Bachelor Applied Sciences,Environmental Chemistry,4 Year(s),Notes Month(s),University of Winnipeg,CO-OP
3258,Bachelor Arts ,English,4 Year(s),4 Month(s),University of Regina,CO-OP
3259,Bachelor Sciences ,Kinesiology and Physical Education,4 Year(s),4 Month(s),University of Lethbridge,CO-OP
3260,College Diploma (DCS) Arts ,Economics,2 Year(s),4 Month(s),Camosun College (Lansdowne),CO-OP
3261,Bachelor Arts ,Indigenous Studies,4 Year(s),4 Month(s),University of Regina,CO-OP
3262,Bachelor Arts ,Economics,4 Year(s),4-16  Month(s),McMaster University,CO-OP
3263,Bachelor Arts ,Dramatic Arts,4 Year(s),4 Month(s),Brock University,CO-OP
3264,Bachelor Business administration ,Economics and Finance,4 Year(s),4 Month(s),University of Winnipeg,CO-OP
3265,College Diploma (DCS) ,Informatics Technique - Informatics Management,3 Year(s),3 Month(s),Collège Ahuntsic,CO-OP
3266,College Diploma (DCS) ,Electronic Engineering Technology,3 Year(s),4 Month(s),Centennial College,CO-OP
3267,College Diploma (DCS) Applied technology ,Electronic Engineering Technology,3 Year(s),4 Month(s),Humber College,CO-OP
3268,Post-Baccalaureate Certificate ,International Business Management,1 Year(s),4 Month(s),Sheridan College,CO-OP
3269,Bachelor Engineering ,Electromechanical systems engineering,4 Year(s),4 Month(s),Université du Québec à Rimouski (UQAR),CO-OP
3270,College Diploma (DCS) ,International Business,3 Year(s),4 Month(s),Centennial College,CO-OP
3271,Bachelor ,Industrial Relations,3 Year(s),14 Month(s),Université de Montréal,CO-OP
