academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Environmental Engineering Technology,Technologie - Génie de l'environnement,3 Year(s),3 Année(s),6 Month(s),6 Mois,Red River College,Red River College,Dylan  Yanchynskielle,CO-OP,Coopératif
Maîtrise Santé publique ,Master Public Health ,Environmental & Occupational Health,Santé environnementale et au travail,2 Year(s),2 Année(s),4 Month(s),4 Mois,Université de Montréal,Université de Montréal,Mme Nolwenn Noisel,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Life Sciences,Sciences de la vie,5 Year(s),5 Année(s),4 Month(s),4 Mois,McMaster University,McMaster University,Vicki Lowes,CO-OP,Coopératif
Baccalauréat Sciences de la santé ,Bachelor Health Sciences ,Environmental Public Health,Santé Publique Environnementale,4 Year(s),4 Année(s),4 Month(s),4 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Labour Studies, Études du travail,4 Year(s),4 Année(s),4 Month(s),4 Mois,Brock University,Brock University,Julia Zhu,CO-OP,Coopératif
Maîtrise Sciences ,Master Sciences ,Environmental Science,Science de l'environnement,2 Year(s),2 Année(s),4 Month(s),4 Mois,Saint Mary's University,Saint Mary's University,Sherry Ross,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Environmental Technology,Technologie de l'environnement,2 Year(s),2 Année(s),4 Month(s),4 Mois,Keyano College,Keyano College,Candice Crossley,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Environmental Technology,Technologie de l'environnement,3 Year(s),3 Année(s),4 and 8 Month(s),4 and 8 Mois,Georgian College  ,Georgian College,Maureen  Koski,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Environmental Technician,Technicien environnemental,2 Year(s),2 Année(s),4 Month(s),4 Mois,Seneca College,Seneca College,Ramona Garrett,CO-OP,Coopératif
Baccalauréat Arts & Sciences,Bachelor Arts & Sciences ,Environmental Sustainability,Durabilité environnementale,5 Year(s),5 Année(s),4 Month(s),4 Mois,Lakehead University,Lakehead University,Meagan Shwetz,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Management,Management,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of Winnipeg,University of Winnipeg,Jessica Adkin,CO-OP,Coopératif
Maîtrise Sciences appliquées,Master Applied Sciences,Environmental Studies,Étude de l'environnement,2 Year(s),2 Année(s),4 Month(s),4 Mois,Saint Mary's University,Saint Mary's University,Sherry Ross,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Logistics and Supply Chain Management,Logistique et gestion de chaîne d'approvisionnements,4.25 Year(s),4.25 Année(s),4 Month(s),4 Mois,University of Manitoba,University of Manitoba,Coop Department Asper,CO-OP,Coopératif
Maîtrise Arts & Sciences,Master Arts & Sciences ,Environmental Studies,Étude de l'environnement,4 Year(s),4 Année(s),16-18 Month(s),16-18 Mois,University of Victoria,University of Victoria,Helen Kobrc,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Linguistics,Linguistiques,5 Year(s),5 Année(s),4-8 Month(s),4-8 Mois,University of British Columbia (Vancouver),University of British Columbia (Vancouver),Julie Walchli,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Environmental Sciences,Sciences de l'environnement,5 Year(s),5 Année(s),4 Month(s),4 Mois,McMaster University,McMaster University,Vicki Lowes,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Western University,Western University,Kelly Sexsmith,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),4-8** Month(s),4-8** Mois,École de technologie supérieure,École de technologie supérieure,Monique  Senez,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Interior Decorating,Décoration intérieure,2 Year(s),2 Année(s),4 Month(s),4 Mois,Humber College,Humber College,Janice Wojcik,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),"4, 8, 12 or 16 Month(s)","4, 8, 12 or 16 Mois",York University,Université York,Mayolyn Dagsi,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Insurance and Risk Management,Assurance et gestion du risque,2 Year(s),2 Année(s),4 Month(s),4 Mois,Bow Valley College,Bow Valley College,Co-op Department Bow Valley College,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Engineering Technology,Technologie - génie électrique,3 Year(s),3 Année(s),16 Month(s),16 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical Engineering Technology,Technologie - génie électrique,3 Year(s),3 Année(s),4 Month(s),4 Mois,Georgian College  ,Georgian College,Cheryl Partridge,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Finance,Finance,4 Year(s),4 Année(s),4 Month(s),4 Mois,Saint Mary's University,Saint Mary's University,Sherry Ross,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Communication ,College Diploma (DCS) Communication ,Marketing,Marketing,3 Year(s),3 Année(s),4 Month(s),4 Mois,Centennial College,Centennial College,Melanie Richardson,CO-OP,Coopératif
Maîtrise Administration des affaires ,Master Business administration ,Finance,Finance,2 Year(s),2 Année(s),4 Month(s),4 Mois,Brock University,Brock University,Julia Zhu,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,Marketing,Marketing,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of Saskatchewan,University of Saskatchewan,Kim Stranden,CO-OP,Coopératif
Maîtrise Administration des affaires ,Master Business administration ,Marketing,Marketing,2 Year(s),2 Année(s),4 Month(s),4 Mois,Brock University,Brock University,Julia Zhu,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Business Administration Marketing,Gestion d'entreprise Marketing,3 Year(s),3 Année(s),4 Month(s),4 Mois,Sheridan College,Sheridan College,Laura Newman,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Marketing,Marketing,3 Year(s),3 Année(s),4 Month(s),4 Mois,Université du Québec en Outaouais (UQO),Université du Québec en Outaouais (UQO),Julie Régimbal,CO-OP,Coopératif
Maîtrise Sciences ,Master Sciences ,Environmental Toxicology,Toxicologie de l'environnement,2 Year(s),2 Année(s),4 Month(s),4 Mois,Simon Fraser University,Simon Fraser University,Magnus Billings,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Administration des affaires ,College Diploma (DCS) Business administration ,Finance,Finance,2 Year(s),2 Année(s),4 Month(s),4 Mois,Camosun College (Interurban),Camosun College (Interurban),Heather MacDonald,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Marketing,Marketing,4 Year(s),4 Année(s),4 Month(s),4 Mois,Camosun College (Interurban),Camosun College (Interurban),Heather MacDonald,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Film Studies,Études de film,4 Year(s),4 Année(s),"4, 8, 12 Month(s)","4, 8, 12 Mois",University of Calgary,University of Calgary,Amanda Foley,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Manufacturing Engineering Technology - Welding and Robotics,Technologie du génie de la fabrication - Soudage et robotique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,Marketing,Marketing,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of Winnipeg,University of Winnipeg,Jessica Adkin,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Engineering,Génie,2 Year(s),2 Année(s),4 Month(s),4 Mois,Saint Mary's University,Saint Mary's University,Sherry Ross,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Université du Québec en Outaouais (UQO),Université du Québec en Outaouais (UQO),Marek Zaremba,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,International Management,Gestion internationale,3 Year(s),3 Année(s),4 Month(s),4 Mois,Université du Québec en Outaouais (UQO),Université du Québec en Outaouais (UQO),Julie Régimbal,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Energy Systems Engineering Technology,Technologie en génie des systèmes d'énergie,4 Year(s),4 Année(s),4 Month(s),4 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Exercise Science,Sciences de l'exercice,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of Lethbridge,University of Lethbridge,Jasminn Berteotti,CO-OP,Coopératif
Maîtrise Sciences de la gestion ,Master Management Sciences ,Management Science,Science de la gestion,2 Year(s),2 Année(s),4 Month(s),4 Mois,Saint Mary's University,Saint Mary's University,Sherry Ross,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Environmental Systems Engineering,Génie des systèmes de l'environnement,2 Year(s),2 Année(s),4-8 Month(s),4-8 Mois,University of Regina,University of Regina,Sheila Kerester,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Environmental Technology,Technologie de l'environnement,3 Year(s),3 Année(s),4 Month(s),4 Mois,Camosun College (Lansdowne),Camosun College (Lansdowne),Tricia Habermehl,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,International Relations,Relations internationales,4 Year(s),4 Année(s),"4, 8, 12 Month(s)","4, 8, 12 Mois",University of Calgary,University of Calgary,Tianni Song,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Technologie appliquée ,College Diploma (DCS) Applied technology ,Electrical Engineering Technology - Control Systems,Technologie en génie électrique - Systèmes de contrôle,3 Year(s),3 Année(s),4 Month(s),4 Mois,Humber College,Humber College,Janice Wojcik,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,International Business,Commerce international,4 Year(s),4 Année(s),"4, 8, 12 Month(s)","4, 8, 12 Mois",Thompson Rivers University,Thompson Rivers University,Shawn Read,CO-OP,Coopératif
Baccalauréat Commerce,Bachelor Commerce,International Business,Commerce international,5 Year(s),5 Année(s),4 Month(s),4 Mois,University of Calgary,University of Calgary,Tania Jamault,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Electrical Technician Apprenticeship,Electrical Technician Apprenticeship,3 Year(s),3 Année(s),4 Month(s),4 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Baccalauréat Administration des affaires ,Bachelor Business administration ,International Business,Commerce international,4 Year(s),4 Année(s),4-8 Month(s),4-8 Mois,Mount Royal University,Mount Royal University,Jane  Hawkins,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electrical and Computer Engineering,Génie électrique et informatique,2 Year(s),2 Année(s),4 Month(s),4 Mois,British Columbia Institute of Technology (BCIT),British Columbia Institute of Technology (BCIT),Earl Anderson,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Electrical Engineering,Génie électrique,4 Year(s),4 Année(s),4 - 16 Month(s),4 - 16 Mois,McMaster University,McMaster University,Rachelle Ireson,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Computer Systems Technician - Information Technology Infrastructure and Services,Technicien en systèmes informatiques - Infrastructure et services des technologies de l'information,2 Year(s),2 Année(s),4 Month(s),4 Mois,Conestoga College,Conestoga College,Main Contact Conestoga College,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Génie ,College Diploma (DCS) Engineering ,Electronic Engineering Technology,Technologie du génie électronique,3 Year(s),3 Année(s),4 Month(s),4 Mois,Sheridan College,Sheridan College,Criste  Kurlawalla,CO-OP,Coopératif
Baccalauréat Arts ,Bachelor Arts ,Economics and Finance,Économie et finance,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of Winnipeg,University of Winnipeg,Jessica Adkin,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Applied Computer Science / Informatics,Informatique Appliquée / Informatique,4 Year(s),4 Année(s),4 Month(s),4 Mois,Dalhousie University,Dalhousie University,Paul C.  Mombourquette,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Food Technology,Technologie des aliments,4 Year(s),4 Année(s),4 Month(s),4 Mois,Memorial University of Newfoundland,Memorial University of Newfoundland,Ann Lynn Anstey,CO-OP,Coopératif
Baccalauréat Génie ,Bachelor Engineering ,Information Technology,Technologies de l'information,4 Year(s),4 Année(s),4-8** Month(s),4-8** Mois,École de technologie supérieure,École de technologie supérieure,Monique  Senez,CO-OP,Coopératif
Baccalauréat Architecture,Bachelor Architecture,Bachelor of Environmental Design,Bachelor of Environmental Design,4 Year(s),4 Année(s),4 Month(s),4 Mois,Dalhousie University,Dalhousie University,Joanne Firth,CO-OP,Coopératif
Maîtrise Architecture,Master Architecture,Master of Architecture,Master of Architecture,2 Year(s),2 Année(s),8 Month(s),8 Mois,Dalhousie University,Dalhousie University,Joanne Firth,CO-OP,Coopératif
Maîtrise Planification,Master Planning,Master of Planning,Master of Planning,2 Year(s),2 Année(s),4 Month(s),4 Mois,Dalhousie University,Dalhousie University,Joanne Firth,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) ,College Diploma (DCS) ,Information Technology,Technologies de l'information,2 Year(s),2 Année(s),4 Month(s),4 Mois,St. Lawrence College of Applied Arts and Technology,St. Lawrence College of Applied Arts and Technology,Jarrie Burns,CO-OP,Coopératif
Baccalauréat ,Bachelor ,Kinesiology ,Kinésiologie ,4 Year(s),4 Année(s),4 Month(s),4 Mois,University of British Columbia (Vancouver),University of British Columbia (Vancouver),Simone Longpré,CO-OP,Coopératif
Maîtrise Sciences ,Master Sciences ,Kinesiology ,Kinésiologie ,2 Year(s),2 Année(s),4 Month(s),4 Mois,University of Lethbridge,University of Lethbridge,Jasminn Berteotti,CO-OP,Coopératif
Maîtrise Arts ,Master Arts ,Kinesiology ,Kinésiologie ,2 Year(s),2 Année(s),4 Month(s),4 Mois,University of Lethbridge,University of Lethbridge,Jasminn Berteotti,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Arts ,College Diploma (DCS) Arts ,English,Anglais,2 Year(s),2 Année(s),4 Month(s),4 Mois,Camosun College (Lansdowne),Camosun College (Lansdowne),Tricia Habermehl,CO-OP,Coopératif
