academic_level_area_of_study_f,academic_level_area_of_study_e,program_of_study_e,program_of_study_f,program_length_e,program_length_f,duration_of_term_e,duration_of_term_f,institution_name_e,institution_name_f,contact,program_type_e,program_type_f
Baccalauréat Sciences ,Bachelor Sciences ,Mathematics/Chartered Professional Accountancy (Option in Finance),Mathématiques/comptabilité professionnelle agréé  (Option en finance),5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences ,Bachelor Sciences ,Mathematical Studies  (Business Specialization),Études mathématiques (Spécialisation d'affaires),5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Computer Science - Software Engineering,Informatique - Génie logiciel,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences de l'informatique ,Bachelor Computer Sciences ,Computing and Financial Management,Informatique et gestion financière,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Maîtrise Sciences ,Master Sciences ,Computational Mathematics,Mathématiques informatiques,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Diplôme d'études supérieures spécialisées (DESS) Génie ,Graduate Diploma Engineering ,"Mechanical Engineering, Graduate Diploma in Design","Génie mécanique, diplôme d'études supérieures en design",2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Baccalauréat Sciences appliquées,Bachelor Applied Sciences,Architectural Engineering,Ingénierie architecturale,5 Year(s),5 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Maîtrise Génie ,Master Engineering ,Architecture,Architecture,2 Year(s),2 Année(s),16 Week(s),16 Semaine(s),University of Waterloo,University of Waterloo,Jeff Chamberlain,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Sciences appliquées,College Diploma (DCS) Applied Sciences,Chemical Engineering Technology,Chemical Engineering Technology (English only),3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),Loyalist College,Loyalist College,Jacki Hansford,CO-OP,Coopératif
Diplôme d'études collégiales (DEC) Environnement ,College Diploma (DCS) Environment ,Environmental Technology,Environmental Technology (English only),3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),Loyalist College,Loyalist College,Jacki Hansford,CO-OP,Coopératif
Baccalauréat Sciences de la gestion ,Bachelor Management Sciences ,Computer Science,L'informatique,4 Year(s),4 Année(s),16 Week(s),16 Semaine(s),University of Lethbridge,University of Lethbridge,Heather Hacior,CO-OP,Coopératif
Baccalauréat Sciences de la gestion ,Bachelor Management Sciences ,Economics,Économie,3 Year(s),3 Année(s),16 Week(s),16 Semaine(s),University of Lethbridge,University of Lethbridge,Heather Hacior,CO-OP,Coopératif
